,date,cases,deaths,ratio
0,2020-01-21,1,0,0.0
1,2020-01-22,1,0,0.0
2,2020-01-23,1,0,0.0
3,2020-01-24,2,0,0.0
4,2020-01-25,3,0,0.0
5,2020-01-26,5,0,0.0
6,2020-01-27,5,0,0.0
7,2020-01-28,5,0,0.0
8,2020-01-29,5,0,0.0
9,2020-01-30,6,0,0.0
10,2020-01-31,7,0,0.0
11,2020-02-01,8,0,0.0
12,2020-02-02,11,0,0.0
13,2020-02-03,11,0,0.0
14,2020-02-04,11,0,0.0
15,2020-02-05,12,0,0.0
16,2020-02-06,12,0,0.0
17,2020-02-07,12,0,0.0
18,2020-02-08,12,0,0.0
19,2020-02-09,12,0,0.0
20,2020-02-10,13,0,0.0
21,2020-02-11,13,0,0.0
22,2020-02-12,14,0,0.0
23,2020-02-13,15,0,0.0
24,2020-02-14,15,0,0.0
25,2020-02-15,15,0,0.0
26,2020-02-16,15,0,0.0
27,2020-02-17,25,0,0.0
28,2020-02-18,25,0,0.0
29,2020-02-19,25,0,0.0
30,2020-02-20,27,0,0.0
31,2020-02-21,30,0,0.0
32,2020-02-22,30,0,0.0
33,2020-02-23,30,0,0.0
34,2020-02-24,43,0,0.0
35,2020-02-25,45,0,0.0
36,2020-02-26,60,0,0.0
37,2020-02-27,60,0,0.0
38,2020-02-28,65,0,0.0
39,2020-02-29,70,1,1.4285714285714286
40,2020-03-01,88,3,3.4090909090909087
41,2020-03-02,104,6,5.769230769230769
42,2020-03-03,125,10,8.0
43,2020-03-04,161,12,7.453416149068323
44,2020-03-05,228,12,5.263157894736842
45,2020-03-06,311,15,4.823151125401929
46,2020-03-07,428,19,4.439252336448598
47,2020-03-08,547,22,4.021937842778794
48,2020-03-09,748,26,3.4759358288770055
49,2020-03-10,1018,31,3.045186640471513
50,2020-03-11,1263,37,2.929532858273951
51,2020-03-12,1668,43,2.577937649880096
52,2020-03-13,2224,50,2.2482014388489207
53,2020-03-14,2898,60,2.070393374741201
54,2020-03-15,3600,68,1.8888888888888888
55,2020-03-16,4507,91,2.019081428888396
56,2020-03-17,5906,117,1.9810362343379615
57,2020-03-18,8350,162,1.9401197604790417
58,2020-03-19,12393,212,1.710643104978617
59,2020-03-20,18012,277,1.537863646457917
60,2020-03-21,24528,360,1.467710371819961
61,2020-03-22,33073,458,1.3848154083391286
62,2020-03-23,43505,579,1.3308815078726584
63,2020-03-24,53938,785,1.4553746894582669
64,2020-03-25,68572,1054,1.5370705244122964
65,2020-03-26,85570,1353,1.5811616220638074
66,2020-03-27,102900,1770,1.7201166180758016
67,2020-03-28,123966,2300,1.8553474339738314
68,2020-03-29,142486,2718,1.9075558300464608
69,2020-03-30,163955,3368,2.054222195114513
70,2020-03-31,188461,4304,2.2837616270740364
71,2020-04-01,215391,5325,2.4722481440728723
72,2020-04-02,245108,6541,2.6686195473015974
73,2020-04-03,277426,7932,2.859140815929293
74,2020-04-04,312525,9488,3.0359171266298697
75,2020-04-05,338141,10856,3.2104950301797177
